part,alpha_deg,beta_deg,pose_id,sim_count,sim_freq_pct,geom_CSA_B_pct,geom_CSA_A_pct,geom_CSA_N_pct,geom_CRSA_B_pct,geom_CRSA_A_pct,geom_CRSA_N_pct,ratio_wall,thresh_wall,ratio_floor,thresh_floor,geom_notes,flagged_unstable_by_geometry
Df4a,15.0,15.0,1,1,0.06146281499692686,0.0,0.0,2.12,0.0,0.0,2.36,5.84,2.731,3.368,2.296,TRANSITIONS,True
Df4a,15.0,15.0,2,47,2.8887523048555623,0.93,2.94,0.82,0.18,2.51,0.15,0.155,2.731,0.537,2.296,-,False
Df4a,15.0,15.0,3,1,0.06146281499692686,0.0,0.0,2.42,0.0,0.0,3.47,10.58,2.731,2.543,2.296,TRANSITIONS,True
Df4a,15.0,15.0,4,64,3.933620159803319,1.78,3.99,1.57,0.71,4.07,0.61,0.222,2.731,0.577,2.296,-,False
Df4a,15.0,15.0,5,231,14.197910264290105,16.33,14.44,14.44,14.58,12.35,12.35,0.537,2.731,0.155,2.296,-,False
Df4a,15.0,15.0,6,160,9.834050399508298,20.05,17.72,17.72,24.33,20.61,20.61,0.62,2.731,0.161,2.296,-,False
Df4a,15.0,15.0,7,279,17.148125384142595,19.33,17.09,17.09,19.28,16.33,16.33,0.577,2.731,0.167,2.296,-,False
Df4a,15.0,15.0,8,31,1.9053472649047327,0.77,1.91,0.68,0.18,1.66,0.15,0.161,2.731,0.62,2.296,-,False
Df4a,15.0,15.0,9,0,0.0,0.0,0.0,1.06,0.0,0.0,1.15,10.241,2.731,6.336,2.296,TRANSITIONS,True
Df4a,15.0,15.0,10,20,1.2292562999385372,0.92,1.87,0.81,0.2,1.33,0.17,0.285,2.731,0.62,2.296,-,False
Df4a,15.0,15.0,11,0,0.0,0.0,0.0,1.23,0.0,0.0,1.51,5.898,2.731,3.651,2.296,TRANSITIONS,True
Df4a,15.0,15.0,12,173,10.633066994468347,12.19,10.78,10.78,10.94,9.26,9.26,0.537,2.731,0.399,2.296,-,False
Df4a,15.0,15.0,13,267,16.41057160417947,13.53,11.96,11.96,15.55,13.17,13.17,0.62,2.731,0.285,2.296,-,False
Df4a,15.0,15.0,14,234,14.382298709280885,11.81,10.44,10.44,13.42,11.37,11.37,0.577,2.731,0.222,2.296,-,False
Df4a,15.0,15.0,15,54,3.31899200983405,1.48,3.86,1.31,0.48,4.25,0.4,0.399,2.731,0.537,2.296,-,False
Df4a,15.0,15.0,16,0,0.0,0.0,0.0,2.19,0.0,0.0,2.99,6.102,2.731,3.272,2.296,TRANSITIONS,True
Df4a,15.0,15.0,17,64,3.933620159803319,0.9,2.99,0.8,0.14,3.11,0.12,0.167,2.731,0.577,2.296,-,False
Df4a,15.0,15.0,18,1,0.06146281499692686,0.0,0.0,2.56,0.0,0.0,3.84,4.418,2.731,2.549,2.296,TRANSITIONS,True
Df4a,15.0,15.0,-1,373,22.92562999385372,,,,,,,,2.731,,2.296,UNMATCHED (no catalog pose within quat_match_tol),False
Df4a,15.0,18.0,1,1,0.059844404548174746,0.0,0.0,2.11,0.0,0.0,2.28,5.84,2.731,3.368,2.296,TRANSITIONS,True
Df4a,15.0,18.0,2,56,3.3512866546977857,1.01,3.0,0.89,0.23,2.48,0.19,0.155,2.731,0.537,2.296,-,False
Df4a,15.0,18.0,3,0,0.0,0.0,0.0,2.49,0.0,0.0,3.66,10.58,2.731,2.543,2.296,TRANSITIONS,True
Df4a,15.0,18.0,4,54,3.2315978456014363,1.96,4.22,1.73,0.89,4.4,0.75,0.222,2.731,0.577,2.296,-,False
Df4a,15.0,18.0,5,252,15.080789946140037,16.33,14.42,14.42,16.2,13.66,13.66,0.537,2.731,0.155,2.296,-,False
Df4a,15.0,18.0,6,202,12.088569718731298,19.97,17.63,17.63,23.91,20.15,20.15,0.62,2.731,0.161,2.296,-,False
Df4a,15.0,18.0,7,293,17.5344105326152,19.24,16.99,16.99,19.28,16.25,16.25,0.577,2.731,0.167,2.296,-,False
Df4a,15.0,18.0,8,26,1.5559545182525434,0.83,1.98,0.74,0.23,1.75,0.19,0.161,2.731,0.62,2.296,-,False
Df4a,15.0,18.0,9,0,0.0,0.0,0.0,1.05,0.0,0.0,1.14,10.241,2.731,6.336,2.296,TRANSITIONS,True
Df4a,15.0,18.0,10,27,1.6157989228007181,1.0,1.93,0.88,0.26,1.37,0.22,0.285,2.731,0.62,2.296,-,False
Df4a,15.0,18.0,11,1,0.059844404548174746,0.0,0.0,1.24,0.0,0.0,1.55,5.898,2.731,3.651,2.296,TRANSITIONS,True
Df4a,15.0,18.0,12,219,13.105924596050269,12.03,10.62,10.62,10.04,8.46,8.46,0.537,2.731,0.399,2.296,-,False
Df4a,15.0,18.0,13,214,12.806702573309396,13.49,11.91,11.91,15.81,13.32,13.32,0.62,2.731,0.285,2.296,-,False
Df4a,15.0,18.0,14,235,14.063435068821065,11.58,10.23,10.23,12.45,10.49,10.49,0.577,2.731,0.222,2.296,-,False
Df4a,15.0,18.0,15,48,2.872531418312388,1.58,4.01,1.39,0.52,4.48,0.44,0.399,2.731,0.537,2.296,-,False
Df4a,15.0,18.0,16,1,0.059844404548174746,0.0,0.0,2.2,0.0,0.0,3.05,6.102,2.731,3.272,2.296,TRANSITIONS,True
Df4a,15.0,18.0,17,41,2.453620586475165,0.98,3.06,0.86,0.19,3.21,0.16,0.167,2.731,0.577,2.296,-,False
Df4a,15.0,18.0,18,1,0.059844404548174746,0.0,0.0,2.62,0.0,0.0,4.04,4.418,2.731,2.549,2.296,TRANSITIONS,True
Df4a,15.0,18.0,-1,329,19.68880909634949,,,,,,,,2.731,,2.296,UNMATCHED (no catalog pose within quat_match_tol),False
Df4a,15.0,20.0,1,0,0.0,0.0,0.0,2.07,0.0,0.0,2.23,5.84,2.731,3.368,2.296,TRANSITIONS,True
Df4a,15.0,20.0,2,40,2.4242424242424243,1.1,3.04,0.97,0.3,2.47,0.25,0.155,2.731,0.537,2.296,-,False
Df4a,15.0,20.0,3,1,0.06060606060606061,0.0,0.0,2.52,0.0,0.0,3.89,10.58,2.731,2.543,2.296,TRANSITIONS,True
Df4a,15.0,20.0,4,49,2.9696969696969697,2.16,4.43,1.91,1.15,4.85,0.96,0.222,2.731,0.577,2.296,-,False
Df4a,15.0,20.0,5,212,12.848484848484848,16.33,14.43,14.43,15.03,12.58,12.58,0.537,2.731,0.155,2.296,-,False
